seed,hidden,top,confidence,correct,p_h0,p_top_vessel,top_vessel_correct
1,False,H0,0.6009781855697807,False,0.6009781855697807,0.29153489490921736,True
2,True,H0,0.555280423679761,True,0.555280423679761,0.21604698592104477,False
3,True,H0,0.6646419040774695,True,0.6646419040774695,0.3080699824034799,False
4,False,H0,0.48856317324332926,False,0.48856317324332926,0.22486360108618367,True
5,False,H0,0.5882002928556639,False,0.5882002928556639,0.20958720187169058,True
6,False,H0,0.5172425658512977,False,0.5172425658512977,0.22057650620816513,True
7,False,H0,0.45053342100751265,False,0.45053342100751265,0.3334240115426944,True
8,False,H0,0.6116794052805511,False,0.6116794052805511,0.20643515766752724,True
9,False,419009002,0.6078716349074967,True,0.3921283650925033,0.6078716349074967,True
10,False,H0,0.43672927561382446,False,0.43672927561382446,0.1704111218246037,True
11,False,H0,0.44870667842107137,False,0.44870667842107137,0.24723825650632666,True
12,False,H0,0.6229085147833614,False,0.6229085147833614,0.19629031423863427,True
13,False,H0,0.42764195747507605,False,0.42764195747507605,0.2327511883789206,True
14,False,H0,0.4724157841691507,False,0.4724157841691507,0.16593484941290493,True
15,False,H0,0.46744812907635636,False,0.46744812907635636,0.21143530688312243,True
16,False,H0,0.5622898932155338,False,0.5622898932155338,0.15119474391440682,True
17,True,H0,0.5970351452745949,True,0.5970351452745949,0.3830150147050245,False
18,False,419018003,0.5796524847761806,True,0.42034751522381936,0.5796524847761806,True
19,True,H0,0.5589950564936049,True,0.5589950564936049,0.3479031725444654,False
20,True,H0,0.5552965137809892,True,0.5552965137809892,0.44470348621901074,False
21,False,H0,0.41129495175755015,False,0.41129495175755015,0.20861915311778084,True
22,False,H0,0.4442763419986589,False,0.4442763419986589,0.28054752740268474,True
23,False,H0,0.46122670513029423,False,0.46122670513029423,0.21091752957177734,True
24,True,H0,0.6358356395519202,True,0.6358356395519202,0.36416436044807976,False
25,False,H0,0.5051902558948344,False,0.5051902558948344,0.35161259140771106,True
26,False,H0,0.5609861018320083,False,0.5609861018320083,0.17317033327741135,False
27,False,H0,0.4910303409270328,False,0.4910303409270328,0.20004896110343737,True
28,False,H0,0.604713335458755,False,0.604713335458755,0.3421259318500635,True
29,True,H0,0.9918075215843659,True,0.9918075215843659,0.008192478415634082,False
30,False,H0,0.5464943241808107,False,0.5464943241808107,0.2890920007997885,True
31,False,H0,0.49815546592209675,False,0.49815546592209675,0.25087969671602217,True
32,True,419032001,0.6280705820040047,False,0.3719294179959953,0.6280705820040047,False
33,True,H0,0.7630641090376961,True,0.7630641090376961,0.23693589096230389,False
34,True,H0,0.5282332236674406,True,0.5282332236674406,0.2505159007854357,False
35,False,H0,0.6234847276161458,False,0.6234847276161458,0.340174515718342,True
36,True,H0,0.5282762065825672,True,0.5282762065825672,0.24146413504704886,False
37,False,419037004,0.5645174134206349,True,0.435482586579365,0.5645174134206349,True
38,False,H0,0.5435571581305497,False,0.5435571581305497,0.17243607084238424,False
39,True,H0,0.6328839123321727,True,0.6328839123321727,0.19066977351914816,False
40,False,H0,0.4502586172723997,False,0.4502586172723997,0.20625046646301115,True
41,True,H0,0.6436792425491269,True,0.6436792425491269,0.15891189369962727,False
42,False,H0,0.5375009949240749,False,0.5375009949240749,0.26634952019100566,True
43,False,H0,0.5963227578916446,False,0.5963227578916446,0.25784917192800166,True
44,False,H0,0.519553804478238,False,0.519553804478238,0.16555971084645266,True
45,False,H0,0.5509569442002293,False,0.5509569442002293,0.4164367299548401,True
46,False,419046004,0.4036022506661629,True,0.3637869435834043,0.4036022506661629,True
47,False,H0,0.6102531701868361,False,0.6102531701868361,0.2081991327398783,True
48,True,H0,0.5282952236107097,True,0.5282952236107097,0.24001669822960295,False
49,False,H0,0.5926657185938753,False,0.5926657185938753,0.31340446298851976,True
50,False,H0,0.6228993791772259,False,0.6228993791772259,0.2658896005781942,True
51,False,H0,0.5560490013732695,False,0.5560490013732695,0.17096694152226738,True
52,False,H0,0.5705196552409981,False,0.5705196552409981,0.13517444578941623,True
53,False,H0,0.4858472549913835,False,0.4858472549913835,0.24935180882042804,True
54,False,H0,0.4795621473946702,False,0.4795621473946702,0.19631866088336827,True
55,False,H0,0.5848097324936493,False,0.5848097324936493,0.20175979146255082,True
56,False,H0,0.5253411021443471,False,0.5253411021443471,0.2067700889658248,True
57,False,H0,0.4533969546590891,False,0.4533969546590891,0.25571615119914176,True
58,False,H0,0.5248874666475565,False,0.5248874666475565,0.21528951317632378,True
